@relation complex8_clustered

@attribute Instance_number numeric
@attribute x numeric
@attribute y numeric
@attribute class {0,1,2,3,4,5,6,7}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,563.225,56.748,0,cluster0
1,564.887,58.119,0,cluster0
2,565.434,68.061,0,cluster0
3,565.926,79.953,0,cluster0
4,566.762,69.405,0,cluster0
5,567.99,81.669,0,cluster0
6,569.194,62.483,0,cluster0
7,569.791,55.458,0,cluster0
8,570.576,73.136,0,cluster0
9,572.167,73.306,0,cluster0
10,573.101,47.248,0,cluster0
11,573.649,88.769,0,cluster0
12,575.847,55.477,0,cluster0
13,576.019,55.179,0,cluster0
14,576.686,66.819,0,cluster0
15,577.379,44.799,0,cluster0
16,577.513,51.055,0,cluster0
17,578.727,80.574,0,cluster0
18,579.476,39.921,0,cluster0
19,580.633,44.737,0,cluster0
20,581.278,65.616,0,cluster0
21,582.023,54.002,0,cluster0
22,583.593,76.708,0,cluster0
23,583.796,79.86,0,cluster0
24,584.366,53.483,0,cluster0
25,586.459,59.779,0,cluster0
26,587.023,85.774,0,cluster0
27,587.679,71.899,0,cluster0
28,588.232,39.995,0,cluster0
29,588.672,51.99,0,cluster0
30,589.312,38.724,0,cluster0
31,591.027,44.019,0,cluster0
32,591.4,91.172,0,cluster0
33,592.217,89.381,0,cluster0
34,593.16,66.805,0,cluster0
35,594.063,66.893,0,cluster0
36,594.76,74.765,0,cluster0
37,595.356,80.827,0,cluster0
38,595.79,75.361,0,cluster0
39,596.355,83.586,0,cluster0
40,596.668,86.122,0,cluster0
41,598.529,58.733,0,cluster0
42,599.626,59.223,0,cluster0
43,600.848,85.828,0,cluster0
44,601.795,80.356,0,cluster0
45,602.177,43.649,0,cluster0
46,603.088,68.333,0,cluster0
47,604.009,86.323,0,cluster0
48,605.044,65.636,0,cluster0
49,605.162,87.564,0,cluster0
50,605.689,81.98,0,cluster0
51,606.666,65.305,0,cluster0
52,609.273,46.702,0,cluster0
53,609.805,79.983,0,cluster0
54,610.426,66.076,0,cluster0
55,611.214,67.693,0,cluster0
56,612.12,50.623,0,cluster0
57,612.611,80.34,0,cluster0
58,615.622,67.058,0,cluster0
59,616.511,69.774,0,cluster0
60,185.148,187.84,1,cluster1
61,186.379,210.891,1,cluster1
62,190.146,203.939,1,cluster1
63,192.725,200.574,1,cluster1
64,193.58,191.945,1,cluster1
65,196.524,209.577,1,cluster1
66,198.153,194.02,1,cluster1
67,199.639,189.935,1,cluster1
68,200.871,193.293,1,cluster1
69,202.992,198.882,1,cluster1
70,206.631,195.446,1,cluster1
71,208.041,192.715,1,cluster1
72,209.812,189.853,1,cluster1
73,211.981,200.95,1,cluster1
74,214.217,207.195,1,cluster1
75,216.775,196.353,1,cluster1
76,218.926,212.944,1,cluster1
77,220.754,190.068,1,cluster1
78,221.351,191.195,1,cluster1
79,222.246,185.421,1,cluster1
80,223.856,211.078,1,cluster1
81,224.959,201.679,1,cluster1
82,226.243,191.191,1,cluster1
83,227.497,199.323,1,cluster1
84,232.63,208.815,1,cluster1
85,233.817,198.346,1,cluster1
86,236.097,201.321,1,cluster1
87,241.224,206.679,1,cluster1
88,242.439,191.389,1,cluster1
89,244.763,189.957,1,cluster1
90,245.674,206.491,1,cluster1
91,247.434,208.13,1,cluster1
92,249.004,200.664,1,cluster1
93,249.977,198.39,1,cluster1
94,250.814,208.034,1,cluster1
95,253.545,215.389,1,cluster1
96,256.788,192.156,1,cluster1
97,257.962,208.085,1,cluster1
98,260.626,210.016,1,cluster1
99,264.383,201.5,1,cluster1
100,265.424,194.869,1,cluster1
101,267.976,208.111,1,cluster1
102,272.218,187.568,1,cluster1
103,275.199,196.881,1,cluster1
104,281.512,193.436,1,cluster1
105,282.56,198.533,1,cluster1
106,283.104,202.56,1,cluster1
107,284.464,215.55,1,cluster1
108,286.95,198.506,1,cluster1
109,288.923,213.113,1,cluster1
110,289.933,208.837,1,cluster1
111,290.501,200.067,1,cluster1
112,292.782,209.527,1,cluster1
113,295.307,185.377,1,cluster1
114,296.686,208.971,1,cluster1
115,300.462,210.472,1,cluster1
116,301.987,213.201,1,cluster1
117,303.553,213.944,1,cluster1
118,13.354,264.529,2,cluster4
119,16.103,255.247,2,cluster4
120,17.339,249.372,2,cluster4
121,18.137,258.655,2,cluster4
122,19.608,265.248,2,cluster4
123,21.247,262.794,2,cluster4
124,22.098,281.747,2,cluster4
125,22.758,242.831,2,cluster4
126,23.345,251.326,2,cluster4
127,23.635,245.377,2,cluster4
128,24.691,273.256,2,cluster4
129,26.117,244.136,2,cluster4
130,27.203,257.622,2,cluster4
131,28.94,244.752,2,cluster4
132,29.936,234.543,2,cluster4
133,30.809,233.232,2,cluster4
134,31.169,284.702,2,cluster4
135,32.489,266.777,2,cluster4
136,32.93,271.838,2,cluster4
137,33.591,283.933,2,cluster4
138,33.773,281.922,2,cluster4
139,34.513,276.181,2,cluster4
140,34.652,252.158,2,cluster4
141,35.524,243.571,2,cluster4
142,35.876,243.583,2,cluster4
143,37.343,233.625,2,cluster4
144,38.62,246.751,2,cluster4
145,40.455,255.385,2,cluster4
146,41.524,284.287,2,cluster4
147,42.817,248.056,2,cluster4
148,44.067,281.238,2,cluster4
149,45.476,271.387,2,cluster4
150,46.187,286.244,2,cluster4
151,47.739,252.702,2,cluster4
152,48.338,258.763,2,cluster4
153,48.994,234.513,2,cluster4
154,49.857,253.511,2,cluster4
155,50.245,237.932,2,cluster4
156,50.976,267.189,2,cluster4
157,51.328,270.145,2,cluster4
158,51.66,262.632,2,cluster4
159,53.837,292.781,2,cluster4
160,54.617,291.696,2,cluster4
161,54.983,230.195,2,cluster4
162,55.211,290.125,2,cluster4
163,56.785,252.76,2,cluster4
164,58.204,276.242,2,cluster4
165,59.035,272.023,2,cluster4
166,59.624,282.485,2,cluster4
167,60.396,231.942,2,cluster4
168,61.014,242.437,2,cluster4
169,61.448,245.848,2,cluster4
170,62.185,263.182,2,cluster4
171,62.725,245.593,2,cluster4
172,63.76,274.755,2,cluster4
173,64.487,237.96,2,cluster4
174,64.713,252.737,2,cluster4
175,65.05,227.462,2,cluster4
176,65.823,290.489,2,cluster4
177,66.296,267.64,2,cluster4
178,67.832,281.385,2,cluster4
179,68.888,226.002,2,cluster4
180,69.967,246.5,2,cluster4
181,70.286,260.492,2,cluster4
182,71.834,228.468,2,cluster4
183,72.206,243.232,2,cluster4
184,72.789,287.178,2,cluster4
185,73.157,293.775,2,cluster4
186,73.85,264.688,2,cluster4
187,74.708,264.807,2,cluster4
188,75.394,254.897,2,cluster4
189,76.311,243.142,2,cluster4
190,76.972,287.451,2,cluster4
191,77.989,230.004,2,cluster4
192,78.233,266.766,2,cluster4
